"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 30 06:11:39 GMT 2024","Tue Jan 30 06:11:40 GMT 2024","702","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Jan 30 06:11:26 GMT 2024","Tue Jan 30 06:11:26 GMT 2024","667","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Jan 30 06:11:25 GMT 2024","Tue Jan 30 06:11:26 GMT 2024","795","","","","","","Successful login - happy path #2",""
"passed","Tue Jan 30 06:11:29 GMT 2024","Tue Jan 30 06:11:31 GMT 2024","2068","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Jan 30 06:11:38 GMT 2024","Tue Jan 30 06:11:39 GMT 2024","852","","","","","","Successful registration - happy path",""
"passed","Tue Jan 30 06:11:31 GMT 2024","Tue Jan 30 06:11:35 GMT 2024","4267","","","","","","Add product to the cart",""
"passed","Tue Jan 30 06:11:22 GMT 2024","Tue Jan 30 06:11:25 GMT 2024","2376","","","","","","Successful login - happy path #1",""
"passed","Tue Jan 30 06:11:35 GMT 2024","Tue Jan 30 06:11:38 GMT 2024","2733","","","","","","Creation of the order",""
"passed","Tue Jan 30 06:11:26 GMT 2024","Tue Jan 30 06:11:27 GMT 2024","766","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Jan 30 06:11:28 GMT 2024","Tue Jan 30 06:11:29 GMT 2024","1491","","","","","","Get all products",""
"passed","Tue Jan 30 06:11:27 GMT 2024","Tue Jan 30 06:11:28 GMT 2024","663","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
