"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 19 06:11:52 GMT 2024","Fri Jan 19 06:11:53 GMT 2024","667","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Jan 19 06:11:47 GMT 2024","Fri Jan 19 06:11:50 GMT 2024","2396","","","","","","Successful login - happy path #1",""
"passed","Fri Jan 19 06:12:02 GMT 2024","Fri Jan 19 06:12:03 GMT 2024","681","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Jan 19 06:11:56 GMT 2024","Fri Jan 19 06:11:59 GMT 2024","2712","","","","","","Add product to the cart",""
"passed","Fri Jan 19 06:11:50 GMT 2024","Fri Jan 19 06:11:51 GMT 2024","777","","","","","","Successful login - happy path #2",""
"passed","Fri Jan 19 06:11:59 GMT 2024","Fri Jan 19 06:12:02 GMT 2024","2740","","","","","","Creation of the order",""
"passed","Fri Jan 19 06:12:02 GMT 2024","Fri Jan 19 06:12:02 GMT 2024","827","","","","","","Successful registration - happy path",""
"passed","Fri Jan 19 06:11:53 GMT 2024","Fri Jan 19 06:11:54 GMT 2024","1442","","","","","","Get all products",""
"passed","Fri Jan 19 06:11:51 GMT 2024","Fri Jan 19 06:11:52 GMT 2024","712","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Jan 19 06:11:51 GMT 2024","Fri Jan 19 06:11:51 GMT 2024","759","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Jan 19 06:11:54 GMT 2024","Fri Jan 19 06:11:56 GMT 2024","2064","","","","","","Get a specific product from the list based on the product Id",""
