"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 06:12:02 GMT 2024","Tue Jan 16 06:12:02 GMT 2024","743","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Jan 16 06:12:08 GMT 2024","Tue Jan 16 06:12:12 GMT 2024","3787","","","","","","Add product to the cart",""
"passed","Tue Jan 16 06:12:04 GMT 2024","Tue Jan 16 06:12:06 GMT 2024","1607","","","","","","Get all products",""
"passed","Tue Jan 16 06:12:15 GMT 2024","Tue Jan 16 06:12:16 GMT 2024","781","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Jan 16 06:12:12 GMT 2024","Tue Jan 16 06:12:15 GMT 2024","3007","","","","","","Creation of the order",""
"passed","Tue Jan 16 06:12:02 GMT 2024","Tue Jan 16 06:12:03 GMT 2024","805","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Jan 16 06:12:06 GMT 2024","Tue Jan 16 06:12:08 GMT 2024","2244","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Jan 16 06:11:58 GMT 2024","Tue Jan 16 06:12:01 GMT 2024","2612","","","","","","Successful login - happy path #1",""
"passed","Tue Jan 16 06:12:01 GMT 2024","Tue Jan 16 06:12:02 GMT 2024","828","","","","","","Successful login - happy path #2",""
"passed","Tue Jan 16 06:12:03 GMT 2024","Tue Jan 16 06:12:04 GMT 2024","714","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Jan 16 06:12:15 GMT 2024","Tue Jan 16 06:12:15 GMT 2024","934","","","","","","Successful registration - happy path",""
