"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 22 06:12:20 GMT 2024","Mon Jan 22 06:12:21 GMT 2024","783","","","","","","Successful login - happy path #2",""
"passed","Mon Jan 22 06:12:29 GMT 2024","Mon Jan 22 06:12:32 GMT 2024","2739","","","","","","Creation of the order",""
"passed","Mon Jan 22 06:12:33 GMT 2024","Mon Jan 22 06:12:34 GMT 2024","686","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Mon Jan 22 06:12:32 GMT 2024","Mon Jan 22 06:12:33 GMT 2024","832","","","","","","Successful registration - happy path",""
"passed","Mon Jan 22 06:12:22 GMT 2024","Mon Jan 22 06:12:23 GMT 2024","746","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Mon Jan 22 06:12:23 GMT 2024","Mon Jan 22 06:12:25 GMT 2024","1515","","","","","","Get all products",""
"passed","Mon Jan 22 06:12:27 GMT 2024","Mon Jan 22 06:12:29 GMT 2024","2668","","","","","","Add product to the cart",""
"passed","Mon Jan 22 06:12:23 GMT 2024","Mon Jan 22 06:12:23 GMT 2024","651","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Mon Jan 22 06:12:25 GMT 2024","Mon Jan 22 06:12:27 GMT 2024","2051","","","","","","Get a specific product from the list based on the product Id",""
"passed","Mon Jan 22 06:12:18 GMT 2024","Mon Jan 22 06:12:20 GMT 2024","2466","","","","","","Successful login - happy path #1",""
"passed","Mon Jan 22 06:12:21 GMT 2024","Mon Jan 22 06:12:22 GMT 2024","660","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
