"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 18:59:46 GMT 2024","Fri Feb 23 18:59:47 GMT 2024","730","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Feb 23 18:59:47 GMT 2024","Fri Feb 23 18:59:48 GMT 2024","640","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Feb 23 18:59:48 GMT 2024","Fri Feb 23 18:59:49 GMT 2024","1426","","","","","","Get all products",""
"passed","Fri Feb 23 18:59:58 GMT 2024","Fri Feb 23 18:59:58 GMT 2024","675","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Feb 23 18:59:43 GMT 2024","Fri Feb 23 18:59:45 GMT 2024","2366","","","","","","Successful login - happy path #1",""
"passed","Fri Feb 23 18:59:54 GMT 2024","Fri Feb 23 18:59:57 GMT 2024","2687","","","","","","Creation of the order",""
"passed","Fri Feb 23 18:59:49 GMT 2024","Fri Feb 23 18:59:51 GMT 2024","2068","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Feb 23 18:59:46 GMT 2024","Fri Feb 23 18:59:46 GMT 2024","646","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Feb 23 18:59:51 GMT 2024","Fri Feb 23 18:59:54 GMT 2024","2684","","","","","","Add product to the cart",""
"passed","Fri Feb 23 18:59:45 GMT 2024","Fri Feb 23 18:59:46 GMT 2024","769","","","","","","Successful login - happy path #2",""
"passed","Fri Feb 23 18:59:57 GMT 2024","Fri Feb 23 18:59:57 GMT 2024","853","","","","","","Successful registration - happy path",""
