"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 06:12:06 GMT 2024","Tue Jan 23 06:12:08 GMT 2024","2173","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Jan 23 06:12:05 GMT 2024","Tue Jan 23 06:12:06 GMT 2024","1538","","","","","","Get all products",""
"passed","Tue Jan 23 06:12:04 GMT 2024","Tue Jan 23 06:12:04 GMT 2024","699","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Jan 23 06:11:59 GMT 2024","Tue Jan 23 06:12:01 GMT 2024","2469","","","","","","Successful login - happy path #1",""
"passed","Tue Jan 23 06:12:01 GMT 2024","Tue Jan 23 06:12:02 GMT 2024","796","","","","","","Successful login - happy path #2",""
"passed","Tue Jan 23 06:12:16 GMT 2024","Tue Jan 23 06:12:17 GMT 2024","739","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Jan 23 06:12:02 GMT 2024","Tue Jan 23 06:12:03 GMT 2024","713","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Jan 23 06:12:08 GMT 2024","Tue Jan 23 06:12:11 GMT 2024","2917","","","","","","Add product to the cart",""
"passed","Tue Jan 23 06:12:15 GMT 2024","Tue Jan 23 06:12:16 GMT 2024","893","","","","","","Successful registration - happy path",""
"passed","Tue Jan 23 06:12:03 GMT 2024","Tue Jan 23 06:12:04 GMT 2024","817","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Jan 23 06:12:11 GMT 2024","Tue Jan 23 06:12:15 GMT 2024","4183","","","","","","Creation of the order",""
