"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 06:11:16 GMT 2024","Sun Feb 18 06:11:16 GMT 2024","808","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sun Feb 18 06:11:15 GMT 2024","Sun Feb 18 06:11:16 GMT 2024","936","","","","","","Successful registration - happy path",""
"passed","Sun Feb 18 06:11:03 GMT 2024","Sun Feb 18 06:11:04 GMT 2024","988","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sun Feb 18 06:10:58 GMT 2024","Sun Feb 18 06:11:01 GMT 2024","2409","","","","","","Successful login - happy path #1",""
"passed","Sun Feb 18 06:11:12 GMT 2024","Sun Feb 18 06:11:15 GMT 2024","3051","","","","","","Creation of the order",""
"passed","Sun Feb 18 06:11:06 GMT 2024","Sun Feb 18 06:11:09 GMT 2024","2239","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sun Feb 18 06:11:04 GMT 2024","Sun Feb 18 06:11:05 GMT 2024","1337","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sun Feb 18 06:11:05 GMT 2024","Sun Feb 18 06:11:06 GMT 2024","1567","","","","","","Get all products",""
"passed","Sun Feb 18 06:11:02 GMT 2024","Sun Feb 18 06:11:03 GMT 2024","789","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sun Feb 18 06:11:01 GMT 2024","Sun Feb 18 06:11:02 GMT 2024","909","","","","","","Successful login - happy path #2",""
"passed","Sun Feb 18 06:11:09 GMT 2024","Sun Feb 18 06:11:12 GMT 2024","2999","","","","","","Add product to the cart",""
