"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 09 06:10:59 GMT 2024","Fri Feb 09 06:11:00 GMT 2024","897","","","","","","Successful registration - happy path",""
"passed","Fri Feb 09 06:10:44 GMT 2024","Fri Feb 09 06:10:46 GMT 2024","2442","","","","","","Successful login - happy path #1",""
"passed","Fri Feb 09 06:10:48 GMT 2024","Fri Feb 09 06:10:49 GMT 2024","778","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Feb 09 06:10:50 GMT 2024","Fri Feb 09 06:10:51 GMT 2024","1455","","","","","","Get all products",""
"passed","Fri Feb 09 06:10:46 GMT 2024","Fri Feb 09 06:10:47 GMT 2024","754","","","","","","Successful login - happy path #2",""
"passed","Fri Feb 09 06:10:54 GMT 2024","Fri Feb 09 06:10:56 GMT 2024","2715","","","","","","Add product to the cart",""
"passed","Fri Feb 09 06:10:49 GMT 2024","Fri Feb 09 06:10:50 GMT 2024","1263","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Feb 09 06:10:47 GMT 2024","Fri Feb 09 06:10:48 GMT 2024","664","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Feb 09 06:10:51 GMT 2024","Fri Feb 09 06:10:54 GMT 2024","2103","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Feb 09 06:11:00 GMT 2024","Fri Feb 09 06:11:01 GMT 2024","680","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Feb 09 06:10:56 GMT 2024","Fri Feb 09 06:10:59 GMT 2024","2696","","","","","","Creation of the order",""
