"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 17 06:12:03 GMT 2024","Wed Jan 17 06:12:05 GMT 2024","1566","","","","","","Get all products",""
"passed","Wed Jan 17 06:12:02 GMT 2024","Wed Jan 17 06:12:03 GMT 2024","844","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Wed Jan 17 06:11:58 GMT 2024","Wed Jan 17 06:12:00 GMT 2024","2572","","","","","","Successful login - happy path #1",""
"passed","Wed Jan 17 06:12:15 GMT 2024","Wed Jan 17 06:12:15 GMT 2024","788","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Wed Jan 17 06:12:03 GMT 2024","Wed Jan 17 06:12:03 GMT 2024","762","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Wed Jan 17 06:12:14 GMT 2024","Wed Jan 17 06:12:15 GMT 2024","928","","","","","","Successful registration - happy path",""
"passed","Wed Jan 17 06:12:01 GMT 2024","Wed Jan 17 06:12:02 GMT 2024","731","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Wed Jan 17 06:12:05 GMT 2024","Wed Jan 17 06:12:07 GMT 2024","2243","","","","","","Get a specific product from the list based on the product Id",""
"passed","Wed Jan 17 06:12:00 GMT 2024","Wed Jan 17 06:12:01 GMT 2024","841","","","","","","Successful login - happy path #2",""
"passed","Wed Jan 17 06:12:10 GMT 2024","Wed Jan 17 06:12:14 GMT 2024","3453","","","","","","Creation of the order",""
"passed","Wed Jan 17 06:12:07 GMT 2024","Wed Jan 17 06:12:10 GMT 2024","2957","","","","","","Add product to the cart",""
