"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 06:10:44 GMT 2024","Sun Jan 21 06:10:45 GMT 2024","805","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sun Jan 21 06:10:46 GMT 2024","Sun Jan 21 06:10:47 GMT 2024","1579","","","","","","Get all products",""
"passed","Sun Jan 21 06:10:44 GMT 2024","Sun Jan 21 06:10:44 GMT 2024","728","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sun Jan 21 06:10:40 GMT 2024","Sun Jan 21 06:10:43 GMT 2024","2384","","","","","","Successful login - happy path #1",""
"passed","Sun Jan 21 06:10:57 GMT 2024","Sun Jan 21 06:10:58 GMT 2024","749","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sun Jan 21 06:10:53 GMT 2024","Sun Jan 21 06:10:56 GMT 2024","3660","","","","","","Creation of the order",""
"passed","Sun Jan 21 06:10:43 GMT 2024","Sun Jan 21 06:10:44 GMT 2024","839","","","","","","Successful login - happy path #2",""
"passed","Sun Jan 21 06:10:50 GMT 2024","Sun Jan 21 06:10:53 GMT 2024","2968","","","","","","Add product to the cart",""
"passed","Sun Jan 21 06:10:45 GMT 2024","Sun Jan 21 06:10:46 GMT 2024","718","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sun Jan 21 06:10:56 GMT 2024","Sun Jan 21 06:10:57 GMT 2024","916","","","","","","Successful registration - happy path",""
"passed","Sun Jan 21 06:10:47 GMT 2024","Sun Jan 21 06:10:50 GMT 2024","2256","","","","","","Get a specific product from the list based on the product Id",""
