"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 06:10:36 GMT 2024","Fri Feb 02 06:10:37 GMT 2024","799","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Feb 02 06:10:51 GMT 2024","Fri Feb 02 06:10:52 GMT 2024","927","","","","","","Successful registration - happy path",""
"passed","Fri Feb 02 06:10:43 GMT 2024","Fri Feb 02 06:10:48 GMT 2024","4752","","","","","","Add product to the cart",""
"passed","Fri Feb 02 06:10:37 GMT 2024","Fri Feb 02 06:10:39 GMT 2024","1983","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Feb 02 06:10:48 GMT 2024","Fri Feb 02 06:10:51 GMT 2024","2979","","","","","","Creation of the order",""
"passed","Fri Feb 02 06:10:40 GMT 2024","Fri Feb 02 06:10:43 GMT 2024","2559","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Feb 02 06:10:32 GMT 2024","Fri Feb 02 06:10:35 GMT 2024","2490","","","","","","Successful login - happy path #1",""
"passed","Fri Feb 02 06:10:35 GMT 2024","Fri Feb 02 06:10:35 GMT 2024","803","","","","","","Successful login - happy path #2",""
"passed","Fri Feb 02 06:10:39 GMT 2024","Fri Feb 02 06:10:40 GMT 2024","1584","","","","","","Get all products",""
"passed","Fri Feb 02 06:10:52 GMT 2024","Fri Feb 02 06:10:52 GMT 2024","743","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Feb 02 06:10:35 GMT 2024","Fri Feb 02 06:10:36 GMT 2024","704","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
