"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 06:11:36 GMT 2024","Tue Feb 06 06:11:37 GMT 2024","697","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Feb 06 06:11:26 GMT 2024","Tue Feb 06 06:11:26 GMT 2024","656","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Feb 06 06:11:21 GMT 2024","Tue Feb 06 06:11:24 GMT 2024","2411","","","","","","Successful login - happy path #1",""
"passed","Tue Feb 06 06:11:33 GMT 2024","Tue Feb 06 06:11:35 GMT 2024","2692","","","","","","Creation of the order",""
"passed","Tue Feb 06 06:11:24 GMT 2024","Tue Feb 06 06:11:24 GMT 2024","773","","","","","","Successful login - happy path #2",""
"passed","Tue Feb 06 06:11:30 GMT 2024","Tue Feb 06 06:11:33 GMT 2024","2706","","","","","","Add product to the cart",""
"passed","Tue Feb 06 06:11:24 GMT 2024","Tue Feb 06 06:11:25 GMT 2024","661","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Feb 06 06:11:28 GMT 2024","Tue Feb 06 06:11:30 GMT 2024","2057","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Feb 06 06:11:26 GMT 2024","Tue Feb 06 06:11:28 GMT 2024","1471","","","","","","Get all products",""
"passed","Tue Feb 06 06:11:35 GMT 2024","Tue Feb 06 06:11:36 GMT 2024","874","","","","","","Successful registration - happy path",""
"passed","Tue Feb 06 06:11:25 GMT 2024","Tue Feb 06 06:11:26 GMT 2024","746","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
