"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 06:10:51 GMT 2024","Wed Jan 31 06:10:53 GMT 2024","1634","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Wed Jan 31 06:10:53 GMT 2024","Wed Jan 31 06:10:54 GMT 2024","1550","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Wed Jan 31 06:11:01 GMT 2024","Wed Jan 31 06:11:04 GMT 2024","2793","","","","","","Creation of the order",""
"passed","Wed Jan 31 06:11:04 GMT 2024","Wed Jan 31 06:11:05 GMT 2024","861","","","","","","Successful registration - happy path",""
"passed","Wed Jan 31 06:10:56 GMT 2024","Wed Jan 31 06:10:58 GMT 2024","2057","","","","","","Get a specific product from the list based on the product Id",""
"passed","Wed Jan 31 06:10:50 GMT 2024","Wed Jan 31 06:10:51 GMT 2024","760","","","","","","Successful login - happy path #2",""
"passed","Wed Jan 31 06:10:48 GMT 2024","Wed Jan 31 06:10:50 GMT 2024","2503","","","","","","Successful login - happy path #1",""
"passed","Wed Jan 31 06:11:05 GMT 2024","Wed Jan 31 06:11:05 GMT 2024","701","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Wed Jan 31 06:10:58 GMT 2024","Wed Jan 31 06:11:01 GMT 2024","2717","","","","","","Add product to the cart",""
"passed","Wed Jan 31 06:10:54 GMT 2024","Wed Jan 31 06:10:55 GMT 2024","725","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Wed Jan 31 06:10:55 GMT 2024","Wed Jan 31 06:10:56 GMT 2024","1473","","","","","","Get all products",""
