"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 06:12:00 GMT 2024","Thu Jan 25 06:12:01 GMT 2024","717","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Thu Jan 25 06:11:45 GMT 2024","Thu Jan 25 06:11:48 GMT 2024","2501","","","","","","Successful login - happy path #1",""
"passed","Thu Jan 25 06:11:50 GMT 2024","Thu Jan 25 06:11:51 GMT 2024","665","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Thu Jan 25 06:12:00 GMT 2024","Thu Jan 25 06:12:00 GMT 2024","831","","","","","","Successful registration - happy path",""
"passed","Thu Jan 25 06:11:48 GMT 2024","Thu Jan 25 06:11:48 GMT 2024","809","","","","","","Successful login - happy path #2",""
"passed","Thu Jan 25 06:11:49 GMT 2024","Thu Jan 25 06:11:50 GMT 2024","777","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Thu Jan 25 06:11:57 GMT 2024","Thu Jan 25 06:12:00 GMT 2024","2709","","","","","","Creation of the order",""
"passed","Thu Jan 25 06:11:51 GMT 2024","Thu Jan 25 06:11:52 GMT 2024","1463","","","","","","Get all products",""
"passed","Thu Jan 25 06:11:48 GMT 2024","Thu Jan 25 06:11:49 GMT 2024","692","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Thu Jan 25 06:11:54 GMT 2024","Thu Jan 25 06:11:57 GMT 2024","2730","","","","","","Add product to the cart",""
"passed","Thu Jan 25 06:11:52 GMT 2024","Thu Jan 25 06:11:54 GMT 2024","2040","","","","","","Get a specific product from the list based on the product Id",""
