"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 09 06:11:28 GMT 2024","Tue Jan 09 06:11:29 GMT 2024","773","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Jan 09 06:11:41 GMT 2024","Tue Jan 09 06:11:42 GMT 2024","911","","","","","","Successful registration - happy path",""
"passed","Tue Jan 09 06:11:30 GMT 2024","Tue Jan 09 06:11:31 GMT 2024","1559","","","","","","Get all products",""
"passed","Tue Jan 09 06:11:34 GMT 2024","Tue Jan 09 06:11:38 GMT 2024","4399","","","","","","Add product to the cart",""
"passed","Tue Jan 09 06:11:38 GMT 2024","Tue Jan 09 06:11:41 GMT 2024","2911","","","","","","Creation of the order",""
"passed","Tue Jan 09 06:11:29 GMT 2024","Tue Jan 09 06:11:30 GMT 2024","705","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Jan 09 06:11:27 GMT 2024","Tue Jan 09 06:11:28 GMT 2024","823","","","","","","Successful login - happy path #2",""
"passed","Tue Jan 09 06:11:31 GMT 2024","Tue Jan 09 06:11:34 GMT 2024","2218","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Jan 09 06:11:24 GMT 2024","Tue Jan 09 06:11:27 GMT 2024","2691","","","","","","Successful login - happy path #1",""
"passed","Tue Jan 09 06:11:42 GMT 2024","Tue Jan 09 06:11:43 GMT 2024","746","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Jan 09 06:11:28 GMT 2024","Tue Jan 09 06:11:28 GMT 2024","705","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
