"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 06:11:24 GMT 2024","Fri Feb 23 06:11:26 GMT 2024","2627","","","","","","Add product to the cart",""
"passed","Fri Feb 23 06:11:26 GMT 2024","Fri Feb 23 06:11:29 GMT 2024","2675","","","","","","Creation of the order",""
"passed","Fri Feb 23 06:11:19 GMT 2024","Fri Feb 23 06:11:20 GMT 2024","639","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Feb 23 06:11:20 GMT 2024","Fri Feb 23 06:11:22 GMT 2024","1396","","","","","","Get all products",""
"passed","Fri Feb 23 06:11:29 GMT 2024","Fri Feb 23 06:11:30 GMT 2024","842","","","","","","Successful registration - happy path",""
"passed","Fri Feb 23 06:11:18 GMT 2024","Fri Feb 23 06:11:19 GMT 2024","654","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Feb 23 06:11:22 GMT 2024","Fri Feb 23 06:11:24 GMT 2024","1976","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Feb 23 06:11:15 GMT 2024","Fri Feb 23 06:11:17 GMT 2024","2425","","","","","","Successful login - happy path #1",""
"passed","Fri Feb 23 06:11:17 GMT 2024","Fri Feb 23 06:11:18 GMT 2024","764","","","","","","Successful login - happy path #2",""
"passed","Fri Feb 23 06:11:19 GMT 2024","Fri Feb 23 06:11:19 GMT 2024","729","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Feb 23 06:11:30 GMT 2024","Fri Feb 23 06:11:30 GMT 2024","662","","","","","","Unsuccessful registration - user tries to register with already used email address",""
