"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 06:10:26 GMT 2024","Sat Jan 06 06:10:27 GMT 2024","845","","","","","","Successful registration - happy path",""
"passed","Sat Jan 06 06:10:23 GMT 2024","Sat Jan 06 06:10:26 GMT 2024","2741","","","","","","Creation of the order",""
"passed","Sat Jan 06 06:10:27 GMT 2024","Sat Jan 06 06:10:27 GMT 2024","678","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sat Jan 06 06:10:17 GMT 2024","Sat Jan 06 06:10:18 GMT 2024","1437","","","","","","Get all products",""
"passed","Sat Jan 06 06:10:14 GMT 2024","Sat Jan 06 06:10:15 GMT 2024","754","","","","","","Successful login - happy path #2",""
"passed","Sat Jan 06 06:10:18 GMT 2024","Sat Jan 06 06:10:20 GMT 2024","2010","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sat Jan 06 06:10:16 GMT 2024","Sat Jan 06 06:10:17 GMT 2024","646","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sat Jan 06 06:10:15 GMT 2024","Sat Jan 06 06:10:16 GMT 2024","662","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sat Jan 06 06:10:12 GMT 2024","Sat Jan 06 06:10:14 GMT 2024","2492","","","","","","Successful login - happy path #1",""
"passed","Sat Jan 06 06:10:20 GMT 2024","Sat Jan 06 06:10:23 GMT 2024","2681","","","","","","Add product to the cart",""
"passed","Sat Jan 06 06:10:16 GMT 2024","Sat Jan 06 06:10:16 GMT 2024","767","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
