"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 06:12:01 GMT 2024","Thu Jan 18 06:12:03 GMT 2024","2416","","","","","","Successful login - happy path #1",""
"passed","Thu Jan 18 06:12:06 GMT 2024","Thu Jan 18 06:12:08 GMT 2024","1620","","","","","","Get all products",""
"passed","Thu Jan 18 06:12:03 GMT 2024","Thu Jan 18 06:12:04 GMT 2024","886","","","","","","Successful login - happy path #2",""
"passed","Thu Jan 18 06:12:04 GMT 2024","Thu Jan 18 06:12:05 GMT 2024","731","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Thu Jan 18 06:12:13 GMT 2024","Thu Jan 18 06:12:16 GMT 2024","3006","","","","","","Creation of the order",""
"passed","Thu Jan 18 06:12:05 GMT 2024","Thu Jan 18 06:12:05 GMT 2024","829","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Thu Jan 18 06:12:16 GMT 2024","Thu Jan 18 06:12:17 GMT 2024","1019","","","","","","Successful registration - happy path",""
"passed","Thu Jan 18 06:12:10 GMT 2024","Thu Jan 18 06:12:13 GMT 2024","3052","","","","","","Add product to the cart",""
"passed","Thu Jan 18 06:12:17 GMT 2024","Thu Jan 18 06:12:18 GMT 2024","762","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Thu Jan 18 06:12:05 GMT 2024","Thu Jan 18 06:12:06 GMT 2024","702","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Thu Jan 18 06:12:08 GMT 2024","Thu Jan 18 06:12:10 GMT 2024","2221","","","","","","Get a specific product from the list based on the product Id",""
