"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 24 06:12:19 GMT 2024","Wed Jan 24 06:12:21 GMT 2024","1571","","","","","","Get all products",""
"passed","Wed Jan 24 06:12:13 GMT 2024","Wed Jan 24 06:12:16 GMT 2024","2539","","","","","","Successful login - happy path #1",""
"passed","Wed Jan 24 06:12:21 GMT 2024","Wed Jan 24 06:12:23 GMT 2024","2311","","","","","","Get a specific product from the list based on the product Id",""
"passed","Wed Jan 24 06:12:17 GMT 2024","Wed Jan 24 06:12:18 GMT 2024","817","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Wed Jan 24 06:12:30 GMT 2024","Wed Jan 24 06:12:31 GMT 2024","769","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Wed Jan 24 06:12:26 GMT 2024","Wed Jan 24 06:12:29 GMT 2024","3030","","","","","","Creation of the order",""
"passed","Wed Jan 24 06:12:16 GMT 2024","Wed Jan 24 06:12:16 GMT 2024","833","","","","","","Successful login - happy path #2",""
"passed","Wed Jan 24 06:12:16 GMT 2024","Wed Jan 24 06:12:17 GMT 2024","713","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Wed Jan 24 06:12:29 GMT 2024","Wed Jan 24 06:12:30 GMT 2024","900","","","","","","Successful registration - happy path",""
"passed","Wed Jan 24 06:12:18 GMT 2024","Wed Jan 24 06:12:19 GMT 2024","968","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Wed Jan 24 06:12:23 GMT 2024","Wed Jan 24 06:12:26 GMT 2024","3009","","","","","","Add product to the cart",""
