"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 06:12:22 GMT 2024","Mon Jan 15 06:12:23 GMT 2024","751","","","","","","Successful login - happy path #2",""
"passed","Mon Jan 15 06:12:20 GMT 2024","Mon Jan 15 06:12:22 GMT 2024","2372","","","","","","Successful login - happy path #1",""
"passed","Mon Jan 15 06:12:35 GMT 2024","Mon Jan 15 06:12:36 GMT 2024","829","","","","","","Successful registration - happy path",""
"passed","Mon Jan 15 06:12:24 GMT 2024","Mon Jan 15 06:12:25 GMT 2024","650","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Mon Jan 15 06:12:26 GMT 2024","Mon Jan 15 06:12:28 GMT 2024","2048","","","","","","Get a specific product from the list based on the product Id",""
"passed","Mon Jan 15 06:12:24 GMT 2024","Mon Jan 15 06:12:24 GMT 2024","729","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Mon Jan 15 06:12:28 GMT 2024","Mon Jan 15 06:12:32 GMT 2024","3766","","","","","","Add product to the cart",""
"passed","Mon Jan 15 06:12:25 GMT 2024","Mon Jan 15 06:12:26 GMT 2024","1440","","","","","","Get all products",""
"passed","Mon Jan 15 06:12:32 GMT 2024","Mon Jan 15 06:12:35 GMT 2024","2700","","","","","","Creation of the order",""
"passed","Mon Jan 15 06:12:23 GMT 2024","Mon Jan 15 06:12:24 GMT 2024","678","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Mon Jan 15 06:12:36 GMT 2024","Mon Jan 15 06:12:36 GMT 2024","678","","","","","","Unsuccessful registration - user tries to register with already used email address",""
