"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 06:10:58 GMT 2024","Fri Feb 16 06:10:58 GMT 2024","759","","","","","","Successful login - happy path #2",""
"passed","Fri Feb 16 06:11:00 GMT 2024","Fri Feb 16 06:11:00 GMT 2024","629","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Feb 16 06:11:07 GMT 2024","Fri Feb 16 06:11:09 GMT 2024","2754","","","","","","Creation of the order",""
"passed","Fri Feb 16 06:11:10 GMT 2024","Fri Feb 16 06:11:11 GMT 2024","650","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Feb 16 06:10:58 GMT 2024","Fri Feb 16 06:10:59 GMT 2024","633","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Feb 16 06:10:59 GMT 2024","Fri Feb 16 06:11:00 GMT 2024","767","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Feb 16 06:11:09 GMT 2024","Fri Feb 16 06:11:10 GMT 2024","829","","","","","","Successful registration - happy path",""
"passed","Fri Feb 16 06:11:00 GMT 2024","Fri Feb 16 06:11:02 GMT 2024","1529","","","","","","Get all products",""
"passed","Fri Feb 16 06:11:02 GMT 2024","Fri Feb 16 06:11:04 GMT 2024","2032","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Feb 16 06:10:55 GMT 2024","Fri Feb 16 06:10:58 GMT 2024","2328","","","","","","Successful login - happy path #1",""
"passed","Fri Feb 16 06:11:04 GMT 2024","Fri Feb 16 06:11:07 GMT 2024","2660","","","","","","Add product to the cart",""
