"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 08 06:11:54 GMT 2024","Mon Jan 08 06:11:55 GMT 2024","1426","","","","","","Get all products",""
"passed","Mon Jan 08 06:11:57 GMT 2024","Mon Jan 08 06:12:00 GMT 2024","2643","","","","","","Add product to the cart",""
"passed","Mon Jan 08 06:11:52 GMT 2024","Mon Jan 08 06:11:52 GMT 2024","654","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Mon Jan 08 06:11:49 GMT 2024","Mon Jan 08 06:11:51 GMT 2024","2421","","","","","","Successful login - happy path #1",""
"passed","Mon Jan 08 06:12:04 GMT 2024","Mon Jan 08 06:12:05 GMT 2024","679","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Mon Jan 08 06:11:52 GMT 2024","Mon Jan 08 06:11:53 GMT 2024","713","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Mon Jan 08 06:12:00 GMT 2024","Mon Jan 08 06:12:03 GMT 2024","3235","","","","","","Creation of the order",""
"passed","Mon Jan 08 06:12:03 GMT 2024","Mon Jan 08 06:12:04 GMT 2024","1123","","","","","","Successful registration - happy path",""
"passed","Mon Jan 08 06:11:55 GMT 2024","Mon Jan 08 06:11:57 GMT 2024","2025","","","","","","Get a specific product from the list based on the product Id",""
"passed","Mon Jan 08 06:11:51 GMT 2024","Mon Jan 08 06:11:52 GMT 2024","739","","","","","","Successful login - happy path #2",""
"passed","Mon Jan 08 06:11:53 GMT 2024","Mon Jan 08 06:11:54 GMT 2024","636","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
