"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 14 06:11:32 GMT 2024","Wed Feb 14 06:11:33 GMT 2024","663","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Wed Feb 14 06:11:31 GMT 2024","Wed Feb 14 06:11:32 GMT 2024","756","","","","","","Successful login - happy path #2",""
"passed","Wed Feb 14 06:11:38 GMT 2024","Wed Feb 14 06:11:40 GMT 2024","2677","","","","","","Add product to the cart",""
"passed","Wed Feb 14 06:11:43 GMT 2024","Wed Feb 14 06:11:44 GMT 2024","850","","","","","","Successful registration - happy path",""
"passed","Wed Feb 14 06:11:33 GMT 2024","Wed Feb 14 06:11:33 GMT 2024","740","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Wed Feb 14 06:11:44 GMT 2024","Wed Feb 14 06:11:45 GMT 2024","679","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Wed Feb 14 06:11:29 GMT 2024","Wed Feb 14 06:11:31 GMT 2024","2488","","","","","","Successful login - happy path #1",""
"passed","Wed Feb 14 06:11:33 GMT 2024","Wed Feb 14 06:11:34 GMT 2024","641","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Wed Feb 14 06:11:34 GMT 2024","Wed Feb 14 06:11:35 GMT 2024","1435","","","","","","Get all products",""
"passed","Wed Feb 14 06:11:35 GMT 2024","Wed Feb 14 06:11:38 GMT 2024","2017","","","","","","Get a specific product from the list based on the product Id",""
"passed","Wed Feb 14 06:11:40 GMT 2024","Wed Feb 14 06:11:43 GMT 2024","2927","","","","","","Creation of the order",""
