"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 28 06:09:55 GMT 2024","Sun Jan 28 06:09:57 GMT 2024","2032","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sun Jan 28 06:10:02 GMT 2024","Sun Jan 28 06:10:03 GMT 2024","878","","","","","","Successful registration - happy path",""
"passed","Sun Jan 28 06:09:46 GMT 2024","Sun Jan 28 06:09:49 GMT 2024","2466","","","","","","Successful login - happy path #1",""
"passed","Sun Jan 28 06:09:57 GMT 2024","Sun Jan 28 06:10:00 GMT 2024","2643","","","","","","Add product to the cart",""
"passed","Sun Jan 28 06:09:49 GMT 2024","Sun Jan 28 06:09:50 GMT 2024","748","","","","","","Successful login - happy path #2",""
"passed","Sun Jan 28 06:09:51 GMT 2024","Sun Jan 28 06:09:54 GMT 2024","2659","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sun Jan 28 06:09:54 GMT 2024","Sun Jan 28 06:09:55 GMT 2024","1443","","","","","","Get all products",""
"passed","Sun Jan 28 06:10:00 GMT 2024","Sun Jan 28 06:10:02 GMT 2024","2677","","","","","","Creation of the order",""
"passed","Sun Jan 28 06:10:03 GMT 2024","Sun Jan 28 06:10:04 GMT 2024","682","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sun Jan 28 06:09:50 GMT 2024","Sun Jan 28 06:09:51 GMT 2024","749","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sun Jan 28 06:09:50 GMT 2024","Sun Jan 28 06:09:50 GMT 2024","650","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
