"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 11 06:11:08 GMT 2024","Sun Feb 11 06:11:09 GMT 2024","896","","","","","","Successful registration - happy path",""
"passed","Sun Feb 11 06:10:58 GMT 2024","Sun Feb 11 06:10:59 GMT 2024","697","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sun Feb 11 06:11:05 GMT 2024","Sun Feb 11 06:11:08 GMT 2024","2928","","","","","","Creation of the order",""
"passed","Sun Feb 11 06:10:53 GMT 2024","Sun Feb 11 06:10:55 GMT 2024","2456","","","","","","Successful login - happy path #1",""
"passed","Sun Feb 11 06:10:55 GMT 2024","Sun Feb 11 06:10:56 GMT 2024","857","","","","","","Successful login - happy path #2",""
"passed","Sun Feb 11 06:11:02 GMT 2024","Sun Feb 11 06:11:05 GMT 2024","2944","","","","","","Add product to the cart",""
"passed","Sun Feb 11 06:10:56 GMT 2024","Sun Feb 11 06:10:57 GMT 2024","711","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sun Feb 11 06:10:59 GMT 2024","Sun Feb 11 06:11:00 GMT 2024","1550","","","","","","Get all products",""
"passed","Sun Feb 11 06:11:00 GMT 2024","Sun Feb 11 06:11:02 GMT 2024","2302","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sun Feb 11 06:10:57 GMT 2024","Sun Feb 11 06:10:58 GMT 2024","845","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sun Feb 11 06:11:09 GMT 2024","Sun Feb 11 06:11:10 GMT 2024","731","","","","","","Unsuccessful registration - user tries to register with already used email address",""
