"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 10 06:10:05 GMT 2024","Sat Feb 10 06:10:08 GMT 2024","2354","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sat Feb 10 06:10:04 GMT 2024","Sat Feb 10 06:10:05 GMT 2024","1653","","","","","","Get all products",""
"passed","Sat Feb 10 06:10:11 GMT 2024","Sat Feb 10 06:10:14 GMT 2024","2985","","","","","","Creation of the order",""
"passed","Sat Feb 10 06:10:01 GMT 2024","Sat Feb 10 06:10:01 GMT 2024","868","","","","","","Successful login - happy path #2",""
"passed","Sat Feb 10 06:10:03 GMT 2024","Sat Feb 10 06:10:04 GMT 2024","741","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sat Feb 10 06:10:02 GMT 2024","Sat Feb 10 06:10:03 GMT 2024","868","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sat Feb 10 06:10:01 GMT 2024","Sat Feb 10 06:10:02 GMT 2024","735","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sat Feb 10 06:10:14 GMT 2024","Sat Feb 10 06:10:15 GMT 2024","936","","","","","","Successful registration - happy path",""
"passed","Sat Feb 10 06:10:15 GMT 2024","Sat Feb 10 06:10:16 GMT 2024","792","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sat Feb 10 06:09:58 GMT 2024","Sat Feb 10 06:10:01 GMT 2024","2452","","","","","","Successful login - happy path #1",""
"passed","Sat Feb 10 06:10:08 GMT 2024","Sat Feb 10 06:10:11 GMT 2024","2965","","","","","","Add product to the cart",""
