"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 06:10:59 GMT 2024","Thu Feb 22 06:11:00 GMT 2024","726","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Thu Feb 22 06:10:56 GMT 2024","Thu Feb 22 06:10:58 GMT 2024","2484","","","","","","Successful login - happy path #1",""
"passed","Thu Feb 22 06:11:14 GMT 2024","Thu Feb 22 06:11:14 GMT 2024","775","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Thu Feb 22 06:11:09 GMT 2024","Thu Feb 22 06:11:13 GMT 2024","3555","","","","","","Creation of the order",""
"passed","Thu Feb 22 06:11:03 GMT 2024","Thu Feb 22 06:11:06 GMT 2024","2885","","","","","","Get a specific product from the list based on the product Id",""
"passed","Thu Feb 22 06:11:02 GMT 2024","Thu Feb 22 06:11:03 GMT 2024","1548","","","","","","Get all products",""
"passed","Thu Feb 22 06:11:01 GMT 2024","Thu Feb 22 06:11:02 GMT 2024","737","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Thu Feb 22 06:11:13 GMT 2024","Thu Feb 22 06:11:14 GMT 2024","965","","","","","","Successful registration - happy path",""
"passed","Thu Feb 22 06:10:58 GMT 2024","Thu Feb 22 06:10:59 GMT 2024","920","","","","","","Successful login - happy path #2",""
"passed","Thu Feb 22 06:11:00 GMT 2024","Thu Feb 22 06:11:01 GMT 2024","816","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Thu Feb 22 06:11:06 GMT 2024","Thu Feb 22 06:11:09 GMT 2024","2994","","","","","","Add product to the cart",""
