"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 12:02:46 GMT 2024","Sat Jan 06 12:02:46 GMT 2024","643","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sat Jan 06 12:02:56 GMT 2024","Sat Jan 06 12:02:57 GMT 2024","675","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sat Jan 06 12:02:50 GMT 2024","Sat Jan 06 12:02:52 GMT 2024","2655","","","","","","Add product to the cart",""
"passed","Sat Jan 06 12:02:41 GMT 2024","Sat Jan 06 12:02:44 GMT 2024","2360","","","","","","Successful login - happy path #1",""
"passed","Sat Jan 06 12:02:48 GMT 2024","Sat Jan 06 12:02:50 GMT 2024","2018","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sat Jan 06 12:02:55 GMT 2024","Sat Jan 06 12:02:56 GMT 2024","858","","","","","","Successful registration - happy path",""
"passed","Sat Jan 06 12:02:45 GMT 2024","Sat Jan 06 12:02:46 GMT 2024","716","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sat Jan 06 12:02:44 GMT 2024","Sat Jan 06 12:02:45 GMT 2024","657","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sat Jan 06 12:02:46 GMT 2024","Sat Jan 06 12:02:48 GMT 2024","1433","","","","","","Get all products",""
"passed","Sat Jan 06 12:02:44 GMT 2024","Sat Jan 06 12:02:44 GMT 2024","749","","","","","","Successful login - happy path #2",""
"passed","Sat Jan 06 12:02:52 GMT 2024","Sat Jan 06 12:02:55 GMT 2024","2646","","","","","","Creation of the order",""
