"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 06:10:49 GMT 2024","Wed Feb 07 06:10:51 GMT 2024","2422","","","","","","Successful login - happy path #1",""
"passed","Wed Feb 07 06:10:54 GMT 2024","Wed Feb 07 06:10:54 GMT 2024","657","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Wed Feb 07 06:10:53 GMT 2024","Wed Feb 07 06:10:54 GMT 2024","739","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Wed Feb 07 06:10:56 GMT 2024","Wed Feb 07 06:10:58 GMT 2024","2046","","","","","","Get a specific product from the list based on the product Id",""
"passed","Wed Feb 07 06:10:52 GMT 2024","Wed Feb 07 06:10:53 GMT 2024","663","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Wed Feb 07 06:11:04 GMT 2024","Wed Feb 07 06:11:05 GMT 2024","692","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Wed Feb 07 06:10:58 GMT 2024","Wed Feb 07 06:11:01 GMT 2024","2727","","","","","","Add product to the cart",""
"passed","Wed Feb 07 06:11:04 GMT 2024","Wed Feb 07 06:11:04 GMT 2024","911","","","","","","Successful registration - happy path",""
"passed","Wed Feb 07 06:10:54 GMT 2024","Wed Feb 07 06:10:56 GMT 2024","1457","","","","","","Get all products",""
"passed","Wed Feb 07 06:10:52 GMT 2024","Wed Feb 07 06:10:52 GMT 2024","766","","","","","","Successful login - happy path #2",""
"passed","Wed Feb 07 06:11:01 GMT 2024","Wed Feb 07 06:11:04 GMT 2024","2930","","","","","","Creation of the order",""
