"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 06:11:42 GMT 2024","Thu Feb 08 06:11:42 GMT 2024","842","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Thu Feb 08 06:11:54 GMT 2024","Thu Feb 08 06:11:55 GMT 2024","762","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Thu Feb 08 06:11:37 GMT 2024","Thu Feb 08 06:11:40 GMT 2024","2547","","","","","","Successful login - happy path #1",""
"passed","Thu Feb 08 06:11:40 GMT 2024","Thu Feb 08 06:11:41 GMT 2024","830","","","","","","Successful login - happy path #2",""
"passed","Thu Feb 08 06:11:42 GMT 2024","Thu Feb 08 06:11:43 GMT 2024","713","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Thu Feb 08 06:11:45 GMT 2024","Thu Feb 08 06:11:47 GMT 2024","2278","","","","","","Get a specific product from the list based on the product Id",""
"passed","Thu Feb 08 06:11:50 GMT 2024","Thu Feb 08 06:11:53 GMT 2024","2996","","","","","","Creation of the order",""
"passed","Thu Feb 08 06:11:41 GMT 2024","Thu Feb 08 06:11:42 GMT 2024","751","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Thu Feb 08 06:11:47 GMT 2024","Thu Feb 08 06:11:50 GMT 2024","3088","","","","","","Add product to the cart",""
"passed","Thu Feb 08 06:11:53 GMT 2024","Thu Feb 08 06:11:54 GMT 2024","937","","","","","","Successful registration - happy path",""
"passed","Thu Feb 08 06:11:43 GMT 2024","Thu Feb 08 06:11:45 GMT 2024","1558","","","","","","Get all products",""
