"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 06:12:26 GMT 2024","Tue Feb 13 06:12:27 GMT 2024","810","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Feb 13 06:12:27 GMT 2024","Tue Feb 13 06:12:28 GMT 2024","734","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Feb 13 06:12:35 GMT 2024","Tue Feb 13 06:12:39 GMT 2024","4197","","","","","","Creation of the order",""
"passed","Tue Feb 13 06:12:40 GMT 2024","Tue Feb 13 06:12:41 GMT 2024","780","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Feb 13 06:12:32 GMT 2024","Tue Feb 13 06:12:35 GMT 2024","3010","","","","","","Add product to the cart",""
"passed","Tue Feb 13 06:12:29 GMT 2024","Tue Feb 13 06:12:32 GMT 2024","2315","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Feb 13 06:12:25 GMT 2024","Tue Feb 13 06:12:26 GMT 2024","753","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Feb 13 06:12:28 GMT 2024","Tue Feb 13 06:12:29 GMT 2024","1597","","","","","","Get all products",""
"passed","Tue Feb 13 06:12:39 GMT 2024","Tue Feb 13 06:12:40 GMT 2024","967","","","","","","Successful registration - happy path",""
"passed","Tue Feb 13 06:12:25 GMT 2024","Tue Feb 13 06:12:25 GMT 2024","892","","","","","","Successful login - happy path #2",""
"passed","Tue Feb 13 06:12:22 GMT 2024","Tue Feb 13 06:12:25 GMT 2024","2490","","","","","","Successful login - happy path #1",""
