"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 03 06:09:49 GMT 2024","Sat Feb 03 06:09:51 GMT 2024","2545","","","","","","Successful login - happy path #1",""
"passed","Sat Feb 03 06:09:52 GMT 2024","Sat Feb 03 06:09:53 GMT 2024","743","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Sat Feb 03 06:10:05 GMT 2024","Sat Feb 03 06:10:06 GMT 2024","984","","","","","","Successful registration - happy path",""
"passed","Sat Feb 03 06:10:06 GMT 2024","Sat Feb 03 06:10:06 GMT 2024","786","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Sat Feb 03 06:09:51 GMT 2024","Sat Feb 03 06:09:52 GMT 2024","824","","","","","","Successful login - happy path #2",""
"passed","Sat Feb 03 06:09:55 GMT 2024","Sat Feb 03 06:09:56 GMT 2024","1650","","","","","","Get all products",""
"passed","Sat Feb 03 06:09:53 GMT 2024","Sat Feb 03 06:09:54 GMT 2024","857","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Sat Feb 03 06:09:56 GMT 2024","Sat Feb 03 06:09:59 GMT 2024","2323","","","","","","Get a specific product from the list based on the product Id",""
"passed","Sat Feb 03 06:09:54 GMT 2024","Sat Feb 03 06:09:55 GMT 2024","729","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Sat Feb 03 06:09:59 GMT 2024","Sat Feb 03 06:10:02 GMT 2024","3047","","","","","","Add product to the cart",""
"passed","Sat Feb 03 06:10:02 GMT 2024","Sat Feb 03 06:10:05 GMT 2024","3098","","","","","","Creation of the order",""
