"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 12 06:11:42 GMT 2024","Fri Jan 12 06:11:44 GMT 2024","2145","","","","","","Get a specific product from the list based on the product Id",""
"passed","Fri Jan 12 06:11:35 GMT 2024","Fri Jan 12 06:11:37 GMT 2024","2574","","","","","","Successful login - happy path #1",""
"passed","Fri Jan 12 06:11:38 GMT 2024","Fri Jan 12 06:11:38 GMT 2024","790","","","","","","Successful login - happy path #2",""
"passed","Fri Jan 12 06:11:39 GMT 2024","Fri Jan 12 06:11:40 GMT 2024","770","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Fri Jan 12 06:11:51 GMT 2024","Fri Jan 12 06:11:52 GMT 2024","718","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Fri Jan 12 06:11:40 GMT 2024","Fri Jan 12 06:11:42 GMT 2024","1499","","","","","","Get all products",""
"passed","Fri Jan 12 06:11:44 GMT 2024","Fri Jan 12 06:11:47 GMT 2024","2852","","","","","","Add product to the cart",""
"passed","Fri Jan 12 06:11:38 GMT 2024","Fri Jan 12 06:11:39 GMT 2024","699","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Fri Jan 12 06:11:51 GMT 2024","Fri Jan 12 06:11:51 GMT 2024","884","","","","","","Successful registration - happy path",""
"passed","Fri Jan 12 06:11:40 GMT 2024","Fri Jan 12 06:11:40 GMT 2024","689","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Fri Jan 12 06:11:47 GMT 2024","Fri Jan 12 06:11:51 GMT 2024","3557","","","","","","Creation of the order",""
